"","Accession.Number","Bimp","GeneID","Locus","Protein.Name"
"4464","XP_003493038.1","BIMP16517",100749932,"LOC100749932","eukaryotic translation initiation factor 3 subunit B"
"4465","XP_003493040.1","BIMP16471",100750130,"LOC100750130","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, mitochondrial"
"4466","XP_003493041.1","BIMP16518",100740028,"LOC100740028","endophilin-B1 isoform X1"
"4467","XP_003493042.1","BIMP16470",100740153,"LOC100740153","40S ribosomal protein S18 isoform X2"
"4468","XP_003493043.1","BIMP16466",100740272,"LOC100740272","coatomer subunit zeta-1 isoform X2"
"4469","XP_003493044.1","BIMP16466",100740272,"LOC100740272","coatomer subunit zeta-1 isoform X4"
"4470","XP_003493046.2","BIMP16521",100740673,"LOC100740673","KAT8 regulatory NSL complex subunit 2 isoform X2"
"4471","XP_003493049.1","BIMP16461",100741036,"LOC100741036","luc7-like protein 3"
"4472","XP_003493051.1","BIMP16459",100741272,"LOC100741272","DNA-directed RNA polymerase III subunit RPC5"
"4473","XP_003493052.1","BIMP16524",100741396,"LOC100741396","vacuolar protein sorting-associated protein 18 homolog isoform X1"
"4474","XP_003493055.2","BIMP16497",100741715,"LOC100741715","metaxin-2"
"4475","XP_003493056.1","BIMP16493",100741834,"LOC100741834","dnaJ homolog subfamily B member 13-like"
"4476","XP_003493057.1","BIMP16490",100741954,"LOC100741954","uncharacterized protein LOC100741954 isoform X1"
"4477","XP_003493059.1","BIMP16489",100742197,"LOC100742197","tRNA (guanine-N(7)-)-methyltransferase"
"4478","XP_003493063.2","BIMP16510",100742683,"LOC100742683","uncharacterized protein LOC100742683"
"4479","XP_003493066.2","BIMP16468",100743039,"LOC100743039","segmentation protein even-skipped isoform X1"
"4480","XP_003493067.1","BIMP16465",100743158,"LOC100743158","sulfide:quinone oxidoreductase, mitochondrial"
"4481","XP_003493111.1","BIMP25202",100748786,"LOC100748786","adipocyte plasma membrane-associated protein"
"4482","XP_003493114.1","BIMP25206",100749141,"LOC100749141","single-strand selective monofunctional uracil DNA glycosylase-like isoform X1"
"4483","XP_003493116.1","BIMP25194",100749375,"LOC100749375","probable tubulin polyglutamylase ttll-15"
"4484","XP_003493117.1","BIMP25208",100749494,"LOC100749494","40S ribosomal protein S29 isoform X2"
"4485","XP_003493118.2","BIMP25201",100749610,"LOC100749610","myb-like protein D isoform X1"
"4486","XP_003493122.1","BIMP25210",100750088,"LOC100750088","dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B isoform X1"
"4487","XP_003493125.1","BIMP25189",100740232,"LOC100740232","uncharacterized protein LOC100740232"
"4488","XP_003493126.1","BIMP25212",100740354,"LOC100740354","HSPB1-associated protein 1 isoform X1"
"4489","XP_003493128.1","BIMP25188",100740596,"LOC100740596","39S ribosomal protein L9, mitochondrial"
"4490","XP_003493129.1","BIMP25185",100740794,"LOC100740794","beclin-1-like protein isoform X1"
"4491","XP_003493130.1","BIMP25216",100740915,"LOC100740915","uridine diphosphate glucose pyrophosphatase NUDT14"
"4492","XP_003493132.1","BIMP25183",100741159,"LOC100741159","exosome complex component RRP46"
"4493","XP_003493134.1","BIMP25178",100741397,"LOC100741397","two pore potassium channel protein sup-9"
"4494","XP_003493136.2","BIMP25198",100741835,"LOC100741835","uncharacterized protein LOC100741835"
"4495","XP_003493144.1","BIMP16890",100742803,"LOC100742803","DNA (cytosine-5)-methyltransferase PliMCI isoform X1"
"4496","XP_003493145.1","BIMP16889",100742919,"LOC100742919","uncharacterized protein LOC100742919 isoform X1"
"4497","XP_003493146.1","BIMP16892",100743040,"LOC100743040","phospholipid phosphatase 1 isoform X1"
"4498","XP_003493147.1","BIMP16891",100743159,"LOC100743159","leucine-rich repeat protein 1 isoform X1"
"4499","XP_003493156.1","BIMP22081",100744343,"LOC100744343","esterase FE4-like"
"4500","XP_003493159.1","BIMP22086",100744708,"LOC100744708","enolase-like isoform X1"
"4501","XP_003493160.1","BIMP22075",100744827,"LOC100744827","inositol monophosphatase 1"
"4502","XP_003493161.1","BIMP22073",100744947,"LOC100744947","4-coumarate--CoA ligase 1"
"4503","XP_003493163.1","BIMP20677",100745188,"LOC100745188","transcription factor SPT20 homolog"
"4504","XP_003493164.1","BIMP20664",100745314,"LOC100745314","thrombospondin type-1 domain-containing protein 4 isoform X2"
"4505","XP_003493166.1","BIMP20680",100745552,"LOC100745552","short coiled-coil protein B isoform X3"
"4506","XP_003493168.1","BIMP20669",100745795,"LOC100745795","uncharacterized protein LOC100745795 isoform X1"
"4507","XP_003493168.1","BIMP20667",100745795,"LOC100745795","uncharacterized protein LOC100745795 isoform X1"
"4508","XP_003493172.1","BIMP20681",100746278,"LOC100746278","odorant receptor 2a-like"
"4509","XP_003493178.1","BIMP20666",100747067,"LOC100747067","uncharacterized protein LOC100747067 isoform X1"
"4510","XP_003493184.1","BIMP20774",100747738,"LOC100747738","uncharacterized protein LOC100747738"
"4511","XP_003493194.1","BIMP16633",100749182,"LOC100749182","abl interactor 2 isoform X1"
"4512","XP_003493195.1","BIMP16633",100749182,"LOC100749182","abl interactor 2 isoform X2"
"4513","XP_003493197.1","BIMP16635",100749495,"LOC100749495","probable cytochrome P450 304a1 isoform X1"
"4514","XP_003493198.1","BIMP16632",100749611,"LOC100749611","signal peptidase complex catalytic subunit SEC11A"
"4515","XP_003493200.1","BIMP16636",100749731,"LOC100749731","ELMO domain-containing protein 2"
"4516","XP_003493201.1","BIMP16630",100749933,"LOC100749933","thioredoxin domain-containing protein"
"4517","XP_003493202.1","BIMP16637",100750054,"LOC100750054","uncharacterized protein LOC100750054"
"4518","XP_003493204.1","BIMP16641",100740070,"LOC100740070","chaoptin-like"
"4519","XP_003493208.1","BIMP12669",100740555,"LOC100740555","NK-tumor recognition protein isoform X1"
"4520","XP_003493209.1","BIMP24814",100740674,"LOC100740674","uncharacterized protein LOC100740674"
"4521","XP_003493211.1","BIMP24839",100740916,"LOC100740916","uncharacterized protein CG7065 isoform X1"
"4522","XP_003493212.1","BIMP24813",100741038,"LOC100741038","rac GTPase-activating protein 1"
"4523","XP_003493213.1","BIMP24812",100741160,"LOC100741160","DNA-directed RNA polymerases I, II, and III subunit RPABC4"
"4524","XP_003493215.1","BIMP24811",100741398,"LOC100741398","threonylcarbamoyladenosine tRNA methylthiotransferase isoform X1"
"4525","XP_003493220.1","BIMP24837",100741991,"LOC100741991","potassium voltage-gated channel protein Shaw-like"
"4526","XP_003493221.1","BIMP24846",100742111,"LOC100742111","kinesin-like protein KIF3B"
"4527","XP_003493228.1","BIMP24861",100743079,"LOC100743079","G patch domain-containing protein 4 isoform X1"
"4528","XP_003493229.1","BIMP24825",100743198,"LOC100743198","probable transcriptional regulatory protein PEPE_1240"
"4529","XP_003493230.1","BIMP24840",100740916,"LOC100740916","coiled-coil domain-containing protein 47 isoform X2"
"4530","XP_003493234.1","BIMP24841",100744187,"LOC100744187","probable cytochrome P450 6a13"
"4531","XP_003493239.1","BIMP24844",100744909,"LOC100744909","cytochrome P450 6a2"
"4532","XP_003493240.1","BIMP24856",100745030,"LOC100745030","microsomal triglyceride transfer protein large subunit isoform X1"
"4533","XP_003493241.1","BIMP24828",100745152,"LOC100745152","growth/differentiation factor 2-like"
"4534","XP_003493242.1","BIMP24857",100745273,"LOC100745273","long-chain-fatty-acid--CoA ligase 1"
"4535","XP_003493244.2","BIMP24858",100745510,"LOC100745510","protein ERGIC-53 isoform X2"
"4536","XP_003493247.1","BIMP24824",100745873,"LOC100745873","uncharacterized protein LOC100745873 isoform X1"
"4537","XP_003493248.1","BIMP24822",100746072,"LOC100746072","cell wall integrity and stress response component 3-like isoform X2"
"4538","XP_003493249.1","BIMP24821",100746193,"LOC100746193","probable methylmalonate-semialdehyde dehydrogenase"
"4539","XP_003493250.1","BIMP24819",100746314,"LOC100746314","echinoderm microtubule-associated protein-like 2 isoform X4"
"4540","XP_003493252.1","BIMP24818",100746515,"LOC100746515","MD-2-related lipid-recognition protein isoform X3"
"4541","XP_003493255.1","BIMP24864",100746870,"LOC100746870","enolase"
"4542","XP_003493256.1","BIMP24863",100746990,"LOC100746990","breast cancer metastasis-suppressor 1-like protein"
"4543","XP_003493262.1","BIMP24108",100747616,"LOC100747616","glycine-rich protein 5"
"4544","XP_003493266.1","BIMP24113",100748107,"LOC100748107","endochitinase A1-like"
"4545","XP_003493267.1","BIMP24114",100748231,"LOC100748231","glutamate receptor ionotropic, kainate 2 isoform X2"
"4546","XP_003493268.1","BIMP24103",100748348,"LOC100748348","sestrin-1"
"4547","XP_003493268.1","BIMP24100",100748348,"LOC100748348","sestrin-1"
"4548","XP_003493271.1","BIMP24115",100748787,"LOC100748787","centaurin-gamma-1A"
"4549","XP_003493273.1","BIMP24116",100749021,"LOC100749021","leucine-rich repeat protein soc-2 homolog"
"4550","XP_003493274.1","BIMP24117",100749142,"LOC100749142","zinc finger CCHC domain-containing protein 10 isoform X1"
"4551","XP_003493276.1","BIMP24093",100749377,"LOC100749377","40S ribosomal protein S28"
"4552","XP_003493277.1","BIMP24093",100749496,"LOC100749496","40S ribosomal protein S28"
"4553","XP_003493287.1","BIMP22450",100740475,"LOC100740475","dnaJ homolog subfamily C member 24"
"4554","XP_003493288.1","BIMP22450",100740475,"LOC100740475","dnaJ homolog subfamily C member 24"
"4555","XP_003493289.1","BIMP22451",100740675,"LOC100740675","vacuolar protein sorting-associated protein 4B"
"4556","XP_003493291.1","BIMP22453",100740917,"LOC100740917","kinesin-like protein KIF18A"
"4557","XP_003493292.1","BIMP22447",100741039,"LOC100741039","28S ribosomal protein S35, mitochondrial"
"4558","XP_003493293.1","BIMP22454",100741161,"LOC100741161","beta-parvin"
"4559","XP_003493295.1","BIMP22459",100741399,"LOC100741399","transcription factor 25"
"4560","XP_003493296.1","BIMP22445",100741518,"LOC100741518","actin-related protein 3"
"4561","XP_003493297.1","BIMP22444",100741640,"LOC100741640","glycosyltransferase 25 family member isoform X1"
"4562","XP_003493299.2","BIMP22441",100741875,"LOC100741875","uncharacterized protein LOC100741875 isoform X2"
"4563","XP_003493300.1","BIMP22440",100741992,"LOC100741992","frequenin-1"
"4564","XP_003493302.1","BIMP22468",100742232,"LOC100742232","clavesin-2"
"4565","XP_003493303.1","BIMP22433",100742355,"LOC100742355","U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 1"
"4566","XP_003493307.2","BIMP22455",100742920,"LOC100742920","odorant receptor 24a-like isoform X1"
"4567","XP_003493311.1","BIMP22443",100743399,"LOC100743399","twinkle protein, mitochondrial"
"4568","XP_003493312.1","BIMP22442",100743519,"LOC100743519","uncharacterized protein LOC100743519"
"4569","XP_003493313.2","BIMP22460",100743642,"LOC100743642","uncharacterized protein LOC100743642 isoform X1"
"4570","XP_003493318.1","BIMP22434",100744227,"LOC100744227","putative serine protease K12H4.7"
"4571","XP_003493322.1","BIMP15218",100744787,"LOC100744787","ras-related protein Rac1"
"4572","XP_003493323.1","BIMP15217",100744910,"LOC100744910","DNA replication licensing factor MCM4"
"4573","XP_003493327.1","BIMP15277",100745391,"LOC100745391","39S ribosomal protein L42, mitochondrial"
"4574","XP_003493330.1","BIMP15213",100745757,"LOC100745757","zinc finger protein 184 isoform X1"
"4575","XP_003493331.1","BIMP15212",100745874,"LOC100745874","heparin sulfate O-sulfotransferase isoform X1"
"4576","XP_003493334.1","BIMP15281",100746233,"LOC100746233","TATA-box-binding protein"
"4577","XP_003493337.1","BIMP15207",100746671,"LOC100746671","H(+)/Cl(-) exchange transporter 5 isoform X1"
"4578","XP_003493340.1","BIMP15283",100746991,"LOC100746991","serine-rich adhesin for platelets"
"4579","XP_003493342.1","BIMP15244",100747227,"LOC100747227","isopentenyl-diphosphate Delta-isomerase 1"
"4580","XP_003493344.1","BIMP15285",100747579,"LOC100747579","SCY1-like protein 2"
"4581","XP_003493345.1","BIMP15202",100747701,"LOC100747701","protein singed"
"4582","XP_003493347.1","BIMP15288",100747944,"LOC100747944","zinc finger protein 800 isoform X2"
"4583","XP_003493348.1","BIMP15200",100748064,"LOC100748064","mediator of RNA polymerase II transcription subunit 14"
"4584","XP_003493349.1","BIMP15291",100748267,"LOC100748267","60S ribosomal export protein NMD3"
"4585","XP_003493351.1","BIMP15294",100748503,"LOC100748503","rab5 GDP/GTP exchange factor"
"4586","XP_003493352.1","BIMP15295",100748621,"LOC100748621","low-density lipoprotein receptor-related protein 6"
"4587","XP_003493354.1","BIMP15296",100748858,"LOC100748858","serine/threonine-protein phosphatase 4 catalytic subunit"
"4588","XP_003493355.1","BIMP15297",100748978,"LOC100748978","microspherule protein 1"
"4589","XP_003493357.1","BIMP15298",100749264,"LOC100749264","ubiquitin-conjugating enzyme E2-24 kDa"
"4590","XP_003493358.1","BIMP15193",100749378,"LOC100749378","CD63 antigen"
"4591","XP_003493361.1","BIMP15249",100749733,"LOC100749733","nose resistant to fluoxetine protein 6-like"
"4592","XP_003493366.2","BIMP15262",100740234,"LOC100740234","GATOR complex protein NPRL3 isoform X1"
"4593","XP_003493369.1","BIMP15242",100740597,"LOC100740597","collagen alpha-1(I) chain"
"4594","XP_003493372.1","BIMP15273",100740962,"LOC100740962","ubiquitin-conjugating enzyme E2 T-like"
"4595","XP_003493375.1","BIMP15279",100741318,"LOC100741318","N-terminal Xaa-Pro-Lys N-methyltransferase 1 isoform X2"
"4596","XP_003493378.1","BIMP15209",100741679,"LOC100741679","exosome complex component MTR3"
"4597","XP_003493383.1","BIMP15199",100742279,"LOC100742279","uncharacterized protein LOC100742279 isoform X2"
"4598","XP_003493387.2","BIMP15197",100742763,"LOC100742763","NADH dehydrogenase (ubiquinone) complex I, assembly factor 6 isoform X2"
"4599","XP_003493388.1","BIMP15195",100742878,"LOC100742878","glycine-rich cell wall structural protein"
"4600","XP_003493390.1","BIMP15192",100743118,"LOC100743118","alpha-ketoglutarate-dependent dioxygenase alkB homolog 4"
"4601","XP_003493391.1","BIMP15248",100743237,"LOC100743237","serine incorporator 1 isoform X3"
"4602","XP_003493393.1","BIMP15241",100743446,"LOC100743446","uncharacterized protein LOC100743446"
"4603","XP_003493394.1","BIMP15258",100743568,"LOC100743568","UDP-xylose and UDP-N-acetylglucosamine transporter"
"4604","XP_003493395.1","BIMP15239",100743683,"LOC100743683","AMP deaminase 2 isoform X4"
"4605","XP_003493396.1","BIMP15237",100743683,"LOC100743683","AMP deaminase 2 isoform X3"
"4606","XP_003493396.1","BIMP15239",100743683,"LOC100743683","AMP deaminase 2 isoform X3"
"4607","XP_003493397.1","BIMP15239",100743683,"LOC100743683","AMP deaminase 2 isoform X7"
"4608","XP_003493400.1","BIMP15235",100744148,"LOC100744148","THAP domain-containing protein 4"
"4609","XP_003493401.1","BIMP15234",100744266,"LOC100744266","RNA-binding motif protein, X-linked 2"
"4610","XP_003493403.1","BIMP15233",100744504,"LOC100744504","threonine aspartase 1"
"4611","XP_003493405.1","BIMP15261",100744742,"LOC100744742","sentrin-specific protease 1-like"
"4612","XP_003493406.1","BIMP15261",100744742,"LOC100744742","sentrin-specific protease 1-like"
"4613","XP_003493407.1","BIMP15232",100744948,"LOC100744948","uncharacterized protein LOC100744948 isoform X2"
"4614","XP_003493410.1","BIMP15230",100745315,"LOC100745315","tyrosine-protein kinase hopscotch isoform X1"
"4615","XP_003493412.1","BIMP15228",100745635,"LOC100745635","zinc finger protein ztf-16"
"4616","XP_003493415.1","BIMP15266",100745994,"LOC100745994","NADH dehydrogenase"
"4617","XP_003493416.2","BIMP15267",100746114,"LOC100746114","uncharacterized protein LOC100746114 isoform X1"
"4618","XP_003493417.1","BIMP15225",100746234,"LOC100746234","transmembrane protein 41B"
"4619","XP_003493418.1","BIMP15268",100746355,"LOC100746355","tumor necrosis factor receptor superfamily member wengen"
"4620","XP_003493419.1","BIMP15270",100746470,"LOC100746470","single-stranded DNA-binding protein, mitochondrial"
"4621","XP_003493420.1","BIMP15223",100746588,"LOC100746588","ets DNA-binding protein pokkuri"
"4622","XP_003493421.1","BIMP15271",100746710,"LOC100746710","septin-2 isoform X2"
"4623","XP_003493425.1","BIMP15274",100747141,"LOC100747141","RNA-binding protein spenito"
"4624","XP_003493426.1","BIMP15219",100747261,"LOC100747261","phosphoribosyl pyrophosphate synthase-associated protein 2"
"4625","XP_003493428.1","BIMP24796",100747501,"LOC100747501","vacuolar protein sorting-associated protein 54"
"4626","XP_003493435.1","BIMP24803",100748544,"LOC100748544","ribosome maturation protein SBDS"
"4627","XP_003493437.1","BIMP24781",100748788,"LOC100748788","alsin"
"4628","XP_003493439.1","BIMP24780",100749022,"LOC100749022","uncharacterized protein LOC100749022"
"4629","XP_003493441.1","BIMP24799",100749265,"LOC100749265","protein henna isoform X2"
"4630","XP_003493446.1","BIMP11831",100749971,"LOC100749971","beta-1,3-galactosyltransferase 5"
"4631","XP_003493448.1","BIMP11832",100750211,"LOC100750211","dual specificity mitogen-activated protein kinase kinase 6 isoform X1"
